    Course Code                                             Course Name                                                  Instructor Name
0        MA 001                              Preparatory Mathematics I                                                               NaN
1        MA 002                             Preparatory Mathematics II                                                               NaN
2        MA 101                               Introductory Mathematics                                                               NaN
3        MA 103                                          Mathematics I                                                               NaN
4        MA 104                                         Mathematics II                                                               NaN
5        MA 105                                               Calculus                                                               NaN
6        MA 106                                         Linear Algebra                            Ananthnarayan HariharanRekha Santhanam
7        MA 107               An Introduction to Mathematical Concepts                                                               NaN
8        MA 108                                 Differential Equations                                         K. SureshkumarSantanu Dey
9        MA 109                                             Calculus I                                                               NaN
10       MA 110              Linear Algebra and Differential Equations   Ananthnarayan HariharanK. SureshkumarRekha SanthanamSantanu Dey
11       MA 111                                            Calculus II                                                               NaN
12       MA 113                            Mathematics and Its History                                                               NaN
13       MA 114               An Introduction to Mathematical Concepts                                                               NaN
14       MA 203                                        Mathematics III                                                               NaN
15       MA 204     Complex Analysis and Partial Differential Equation                                                               NaN
16       MA 205                                       Complex Analysis                                                               NaN
17       MA 207                              Differential Equations II                                                               NaN
18       MA 210                      Introduction to Numerical Methods                                                               NaN
19       MA 212  Probability, Random Process and Statistical Inference                                                               NaN
20       MA 214                     Introduction to Numerical Analysis                                                  Sudarshan Gurjar
21       MA 401                                         Linear Algebra                                                               NaN
22       MA 402                                             Algebra -I                                                               NaN
23       MA 403                                          Real Analysis                                                               NaN
24       MA 404                                       Real Analysis II                                                               NaN
25       MA 405                                          Basic Algebra                                                               NaN
26       MA 406                                       General Topology                                                   Chandan  Biswas
27       MA 408                                         Measure Theory                                                Mallesham  Kummari
28       MA 410                                 Multivariable Calculus                                                      Preeti Raman
29       MA 411                            Introduction to Probability                                                               NaN
30       MA 412                                       Complex Analysis                                      Garge Shripad M.Sandip Singh
31       MA 414                                              Algebra I                                                    Saurav Bhaumik
32       MA 415                                   Mathematical Methods                                                               NaN
33       MA 416                                 Mathematical Methods I                                                               NaN
34       MA 417                        Ordinary Differential Equations                                                               NaN
35       MA 419                                          Basic Algebra                                                               NaN
36       MA 420                             Principles of Optimization                                                               NaN
37       MA 422                                     Probability Theory                                                               NaN
38       MA 424                                     Theory of Sampling                                                               NaN
39       MA 436                         Partial Differential Equations                                                               NaN
40       MA 438                Introduction to Mathematical Statistics                                                               NaN
41       MA 444                                     Numerical Analysis                                                               NaN
42       MA 446                                       Complex Analysis                                                               NaN
43       MA 448                                 Multivariable Calculus                                                               NaN
44       MA 450                                      Independent Study                                                               NaN
45       MA 501                                             Algebra II                                                               NaN
46       MA 502                                Algebraic Number Theory                                                               NaN
47       MA 503                                    Functional Analysis                                                               NaN
48       MA 504                            Operators on Hilbert Spaces                                                       Bata K. Das
49       MA 505                                             Algebra II                                                               NaN
50       MA 506                                    Commutative Algebra                                                               NaN
51       MA 507                       Convex Analysis and Optimization                                                               NaN
52       MA 508                                   Mathematical Methods                                                               NaN
53       MA 509                               Elementary Number Theory                                                               NaN
54       MA 510                     Introduction to Algebraic Geometry                                               Manoj Kumar keshari
55       MA5109                                           Graph Theory                                                               NaN
56       MA 511                            Enumerative Combinatorics I                                                               NaN
57       MA 512                          Enumerative Cimbinatiorics II                                                               NaN
58       MA 513                                       Fourier Analysis                                                               NaN
59       MA 514          Locally Convex Spaces and Distribution Theory                                                               NaN
60       MA 515                         Partial Differential Equations                                                               NaN
61       MA 516                                     Algebraic Topology                                                               NaN
62       MA 517                            Operators on Hilbert Spaces                                                               NaN
63       MA 518                                 Spectral Approximation                                                               NaN
64       MA 519                 Representation Theory of Finite Groups                                                               NaN
65       MA 520                  Spline Theory and Variational Methods                                                               NaN
66       MA 521                           Theory of Analytic Functions                                                               NaN
67       MA 522                      Fourier Analysis and Applications                                                               NaN
68       MA 523                                    Basic Number Theory                                                               NaN
69       MA 524                                Algebraic Number Theory                                                               NaN
70       MA 525                                      Dynamical Systems                                                               NaN
71       MA 526                                    Commutative Algebra                                                        Verma J.K.
72       MA 527                         Topics in Approximation Theory                                                               NaN
73       MA 529     Numerical Methods for Partial Differential Equatio                                                               NaN
74       MA 530                                     Nonlinear Analysis                                                               NaN
75       MA 532                                 Analytic Number Theory                                                               NaN
76       MA 533                            Advanced Probability Theory                                                               NaN
77       MA 534                                   Modern Theory of PDE                                                  Debanjana  Mitra
78       MA 538                 Representation Theory of Finite Groups                                                               NaN
79       MA 539                  Spline Theory and Variational Methods                                                               NaN
80       MA 540   Numerical Methods for Partial Differential Equations                                                               NaN
81       MA 543                Finite Element Methods and Applications                                                               NaN
82       MA 548                          Non-Newtonian Fluid Mechanics                                                               NaN
83       MA 551                                  Numerical Analysis II                                                               NaN
84       MA 556                                  Differential Geometry                                                               NaN
85       MA 559                                    Functional Analysis                                                               NaN
86       MA 561                       Abstract Measure and Integration                                                               NaN
87       MA 562                 Mathematical Theory of Finite Elements                                                     Nataraj Neela
88       MA 567                                Compressible Fluid Flow                                                               NaN
89       MA 568                                 Functional Analysis II                                                               NaN
90       MA 569     Computational Commutative Algebra and Algebraic Ge                                                               NaN
91       MA 570                     Design and Analysis of Experiments                                                               NaN
92       MA 572                    Non-paramatic Statistical Inference                                                               NaN
93       MA 573                     Mathematical Theory of Reliability                                                               NaN
